,page,country,rev_id,score
35987,Mohd Eekmal Ahmad,Malaysia,799540668,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:799540668)', 'type': 'RevisionNotFound'}}"
36344,Raja Muhammad Akbar Khan,Pakistan,799880073,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:799880073)', 'type': 'RevisionNotFound'}}"
36414,Rich Eychaner,United States,799933274,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:799933274)', 'type': 'RevisionNotFound'}}"
36547,Michael McInerney,Ireland,800072571,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800072571)', 'type': 'RevisionNotFound'}}"
36623,Craig Huey,United States,800144885,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800144885)', 'type': 'RevisionNotFound'}}"
36949,Donald Jeffrey Large,United States,800299837,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800299837)', 'type': 'RevisionNotFound'}}"
37135,Dragan Klaric,Sweden,800471126,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800471126)', 'type': 'RevisionNotFound'}}"
37216,Bashir Ahmed Sarki,Pakistan,800574730,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800574730)', 'type': 'RevisionNotFound'}}"
37351,Siddique Nazmul Alam,Bangladesh,800707821,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:800707821)', 'type': 'RevisionNotFound'}}"
37870,Georges Sada,Iraq,801177435,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801177435)', 'type': 'RevisionNotFound'}}"
38096,Anwara Ali,United Kingdom,801306872,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801306872)', 'type': 'RevisionNotFound'}}"
38457,Secular and Nationalist Jinnah,Pakistan,801536406,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801536406)', 'type': 'RevisionNotFound'}}"
38509,Ambedkarism,India,801563949,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801563949)', 'type': 'RevisionNotFound'}}"
38614,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801638735)', 'type': 'RevisionNotFound'}}"
38658,Abhijit Pandya,United Kingdom,801696196,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:801696196)', 'type': 'RevisionNotFound'}}"
38784,Ouyang Xiu,China,801835819,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
39113,Ali Asghar Khan (politician),Pakistan,802148439,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:802148439)', 'type': 'RevisionNotFound'}}"
39228,List of politicians on Veep,United States,802302246,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:802302246)', 'type': 'RevisionNotFound'}}"
39478,Daniel O'Neill (Royalist),Ireland,802445176,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
39550,Ananda Syahendar Perdana,Indonesia,802475516,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:802475516)', 'type': 'RevisionNotFound'}}"
39584,Ezatullah Mujahid,Afghanistan,802515929,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:802515929)', 'type': 'RevisionNotFound'}}"
39895,Maciej Filip Zegarski,Poland,802765034,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:802765034)', 'type': 'RevisionNotFound'}}"
40042,Bernard Binlin Dadié,Ivorian,802904214,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
40092,Than Htay,Myanmar,802937732,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
40510,Anatoliy Peshko,Ukraine,803413615,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:803413615)', 'type': 'RevisionNotFound'}}"
40594,Kevin Hardwick,United States,803484030,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:803484030)', 'type': 'RevisionNotFound'}}"
40902,David Sparrow,Canada,803784385,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:803784385)', 'type': 'RevisionNotFound'}}"
41237,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804057093)', 'type': 'RevisionNotFound'}}"
41331,João Victor Guedes,Brazil,804118645,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804118645)', 'type': 'RevisionNotFound'}}"
41395,Kampa Borgoyary,India,804158476,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804158476)', 'type': 'RevisionNotFound'}}"
41772,Lucia Lucchesi-Ghiselli,Italy,804473605,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804473605)', 'type': 'RevisionNotFound'}}"
42026,Lib Peck,United Kingdom,804697858,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804697858)', 'type': 'RevisionNotFound'}}"
42121,Dudley–Winthrop family,United States,804791599,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804791599)', 'type': 'RevisionNotFound'}}"
42353,Larry A. Kaczala,United States,804941978,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804941978)', 'type': 'RevisionNotFound'}}"
42366,William M. Rainach,United States,804945338,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804945338)', 'type': 'RevisionNotFound'}}"
42379,David J. Dwork,United States,804946658,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:804946658)', 'type': 'RevisionNotFound'}}"
42561,Ron Crickenberger,United States,805031334,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805031334)', 'type': 'RevisionNotFound'}}"
42573,Lav Grigorije Pajkić,Serbia,805041930,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805041930)', 'type': 'RevisionNotFound'}}"
42819,Richards–Young family,United States,805211553,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805211553)', 'type': 'RevisionNotFound'}}"
43113,Ian Axton,United Kingdom,805420467,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805420467)', 'type': 'RevisionNotFound'}}"
43529,Kamrul Hasan Nasim,Bangladesh,805697623,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805697623)', 'type': 'RevisionNotFound'}}"
43661,Political positions of Pat Buchanan,United States,805788048,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805788048)', 'type': 'RevisionNotFound'}}"
43905,Hossein Khan Movaghar,Iran,805936041,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805936041)', 'type': 'RevisionNotFound'}}"
